combinedFlightNumber,Large_delays,slight_delays,moderate_delays,total_cancellations,
AA 4633,0,0,8,0,
B6 957,0,0,8,0,
UA 5102,0,0,0,29,
UA 5045,0,0,0,28,
UA 5104,0,0,0,22,
WN 1631,0,0,0,21,
AA 4209,0,0,0,20,
B6 671,0,0,0,19,
AS 992,0,0,0,18,
AA 3234,0,0,0,17,
AA 4072,0,0,0,17,
WN 575,0,0,0,16,
B6 676,0,0,0,16,
WN 1567,0,0,0,16,
WN 1649,0,0,0,15,
AA 4212,0,0,0,15,
AA 1761,0,0,0,15,
WN 2416,0,0,0,14,
AA 1849,0,0,0,13,
AA 3031,0,0,0,13,
AA 5743,0,0,0,13,
WN 102,0,0,0,13,
AA 1838,0,0,0,13,
AA 1092,0,0,0,13,
WN 61,0,0,0,13,
B6 1120,0,0,0,13,
B6 1455,0,0,0,12,
WN 656,0,0,0,12,
AA 2199,0,0,0,12,
UA 5089,0,0,0,12,
AA 1826,0,0,0,12,
AA 2736,0,0,0,12,
AA 2434,0,0,0,12,
AA 3703,0,0,0,12,
AS 922,0,0,0,12,
WN 148,0,0,0,12,
DL 4273,0,0,0,12,
UA 5140,0,0,0,12,
WN 101,0,0,0,12,
AA 3250,0,0,0,12,
AA 3209,0,0,0,12,
AA 1339,0,0,0,12,
AA 1362,0,0,0,12,
AA 2420,0,0,0,12,
AA 1907,0,0,0,12,
WN 1144,0,0,0,11,
AA 1892,0,0,0,11,
AS 2232,0,0,0,11,
AA 3628,0,0,0,11,
WN 1632,0,0,0,11,
WN 3016,0,0,0,11,
AA 3886,0,0,0,11,
AA 3777,0,0,0,11,
AS 2211,0,0,0,11,
AA 3924,0,0,0,11,
AA 2399,0,0,0,11,
AA 2357,0,0,0,11,
AA 980,0,0,0,11,
WN 2426,0,0,0,11,
DL 4909,0,0,0,11,
AA 1939,0,0,0,11,
AA 1806,0,0,0,11,
AA 2247,0,0,0,11,
AA 1472,0,0,0,11,
UA 5111,0,0,0,11,
UA 5359,0,0,0,11,
WN 1123,0,0,0,11,
B6 1019,0,0,0,11,
WN 1306,0,0,0,11,
AA 2798,0,0,0,11,
AA 1365,0,0,0,11,
WN 522,0,0,0,11,
UA 5745,0,0,0,11,
AA 4608,0,0,0,11,
WN 1830,0,0,0,11,
B6 1567,0,0,0,11,
AA 2343,0,0,0,11,
AA 1832,0,0,0,11,
WN 58,0,0,0,11,
AA 5853,0,0,0,11,
AA 4211,0,0,0,11,
NK 960,0,0,0,11,
WN 2345,0,0,0,11,
WN 1531,0,0,0,11,
WN 995,0,0,0,10,
WN 850,0,0,0,10,
WN 2346,0,0,0,10,
UA 5064,0,0,0,10,
AA 2858,0,0,0,10,
AA 1505,0,0,0,10,
AA 2439,0,0,0,10,
AA 898,0,0,0,10,
B6 2194,0,0,0,10,
UA 5505,0,0,0,10,
WN 168,0,0,0,10,
AA 4126,0,0,0,10,
AA 2629,0,0,0,10,
WN 2505,0,0,0,10,
B6 808,0,0,0,10,
AA 2740,0,0,0,10,
WN 774,0,0,0,10,
AA 1523,0,0,0,10,
DL 2890,0,0,0,10,
WN 1620,0,0,0,10,
AA 4139,0,0,0,10,
AA 2331,0,0,0,10,
WN 1617,0,0,0,10,
AA 1663,0,0,0,10,
AA 2716,0,0,0,10,
AA 5040,0,0,0,10,
B6 116,0,0,0,10,
AA 3715,0,0,0,10,
AA 2037,0,0,0,10,
AA 1506,0,0,0,10,
AA 3285,0,0,0,10,
AA 5621,0,0,0,10,
AA 2693,0,0,0,10,
UA 5477,0,0,0,10,
AA 4416,0,0,0,10,
WN 12,0,0,0,10,
B6 2432,0,0,0,10,
AA 1728,0,0,0,10,
AA 2444,0,0,0,10,
WN 37,0,0,0,10,
AA 4345,0,0,0,10,
WN 827,0,0,0,10,
UA 5061,0,0,0,10,
NK 2007,0,0,0,10,
